organoid_id,Preneurogenic_OV,RPC,RPC_Proliferating1,RPC_Proliferating2,Retina
BMP:CHIR.F4.PLATE2,0.025252525252525252,0.7525252525252525,0.08181818181818182,0.06565656565656566,0.07474747474747474
BMP:CHIR.F5.PLATE2,0.025423728813559324,0.7516949152542373,0.059322033898305086,0.059322033898305086,0.10423728813559321
BMP:CHIR.F6.PLATE2,0.025824175824175823,0.7631868131868131,0.07252747252747253,0.06923076923076923,0.06923076923076923
BMP:CHIR.F7.PLATE2,0.016960208741030658,0.8036529680365296,0.04370515329419439,0.05348988910632746,0.0821917808219178
BMP:CHIR.F8.PLATE2,0.06746987951807229,0.7566265060240964,0.09819277108433735,0.04096385542168675,0.03674698795180723
BMP:CHIR.F9.PLATE2,0.038524590163934426,0.7770491803278688,0.10983606557377049,0.036065573770491806,0.038524590163934426
BMP:CHIR.G1.PLATE2,0.024361948955916472,0.7041763341067285,0.06612529002320186,0.08584686774941995,0.11948955916473318
BMP:CHIR.G10.PLATE2,0.043795620437956206,0.6715328467153284,0.13138686131386862,0.07785888077858881,0.07542579075425791
BMP:CHIR.G11.PLATE2,0.11187845303867404,0.68646408839779,0.1505524861878453,0.04005524861878453,0.011049723756906077
BMP:CHIR.G12.PLATE2,0.03508771929824561,0.7719298245614035,0.07017543859649122,0.06140350877192982,0.06140350877192982
BMP:CHIR.G2.PLATE2,0.01864035087719298,0.743421052631579,0.0537280701754386,0.07785087719298246,0.10635964912280702
BMP:CHIR.G3.PLATE2,0.05168986083499006,0.6441351888667992,0.08151093439363817,0.06958250497017893,0.15308151093439365
BMP:CHIR.G4.PLATE2,0.025817555938037865,0.774526678141136,0.055077452667814115,0.06540447504302926,0.07917383820998279
BMP:CHIR.G5.PLATE2,0.03633217993079585,0.7283737024221453,0.10034602076124567,0.06401384083044982,0.07093425605536333
BMP:CHIR.G6.PLATE2,0.027777777777777776,0.7129629629629629,0.06851851851851852,0.06296296296296296,0.12777777777777777
BMP:CHIR.G7.PLATE2,0.03623508616880247,0.7322138753866548,0.08130799823243483,0.06628369421122404,0.08395934600088378
BMP:CHIR.G8.PLATE2,0.04319654427645788,0.6760259179265659,0.1079913606911447,0.06479481641468683,0.1079913606911447
BMP:CHIR.G9.PLATE2,0.039589442815249266,0.7243401759530792,0.07331378299120235,0.05718475073313783,0.10557184750733138
BMP:CHIR.H1.PLATE2,0.021660649819494584,0.7563176895306859,0.0703971119133574,0.05054151624548736,0.10108303249097472
BMP:CHIR.H10.PLATE2,0.03008595988538682,0.7535816618911175,0.083810888252149,0.06160458452722063,0.07091690544412607
BMP:CHIR.H11.PLATE2,0.02089864158829676,0.7638453500522466,0.07105538140020899,0.04911180773249739,0.09508881922675026
BMP:CHIR.H12.PLATE2,0.05701754385964912,0.6140350877192983,0.06140350877192982,0.07017543859649122,0.19736842105263158
BMP:CHIR.H2.PLATE2,0.052545155993431854,0.6945812807881774,0.10344827586206896,0.05829228243021346,0.09113300492610837
BMP:CHIR.H3.PLATE2,0.06741573033707865,0.7495987158908507,0.12199036918138041,0.038523274478330656,0.02247191011235955
BMP:CHIR.H4.PLATE2,0.06395348837209303,0.7538759689922481,0.046511627906976744,0.029069767441860465,0.1065891472868217
BMP:CHIR.H5.PLATE2,0.032397408207343416,0.7602591792656588,0.04319654427645788,0.04967602591792657,0.11447084233261338
BMP:CHIR.H6.PLATE2,0.03436426116838488,0.7800687285223368,0.07216494845360824,0.037800687285223365,0.07560137457044673
BMP:CHIR.H7.PLATE2,0.09259259259259259,0.7777777777777778,0.08333333333333333,0.027777777777777776,0.018518518518518517
BMP:CHIR.H8.PLATE2,0.06191588785046729,0.7207943925233645,0.09462616822429906,0.06074766355140187,0.06191588785046729
BMP:CHIR.H9.PLATE2,0.05093833780160858,0.7989276139410187,0.09115281501340483,0.032171581769437,0.02680965147453083
BMP:SU5402:CHIR.A1.PLATE3,0.08953258722843976,0.6392363396971692,0.12244897959183673,0.04805793285055958,0.10072416063199473
BMP:SU5402:CHIR.A11.PLATE3,0.0777479892761394,0.774798927613941,0.06702412868632708,0.024128686327077747,0.05630026809651475
BMP:SU5402:CHIR.A2.PLATE3,0.0635386119257087,0.7135874877810362,0.08308895405669599,0.06256109481915934,0.0772238514173998
BMP:SU5402:CHIR.A3.PLATE3,0.10091743119266056,0.6935779816513762,0.08990825688073395,0.04954128440366973,0.06605504587155964
BMP:SU5402:CHIR.A4.PLATE3,0.029661016949152543,0.7245762711864406,0.07203389830508475,0.0635593220338983,0.11016949152542373
BMP:SU5402:CHIR.A5.PLATE3,0.07945205479452055,0.7178082191780822,0.10410958904109589,0.03287671232876712,0.06575342465753424
BMP:SU5402:CHIR.A6.PLATE3,0.12063492063492064,0.6428571428571429,0.13174603174603175,0.06666666666666667,0.0380952380952381
BMP:SU5402:CHIR.A7.PLATE3,0.09090909090909091,0.6024096385542169,0.15991237677984665,0.056955093099671415,0.08981380065717415
BMP:SU5402:CHIR.A8.PLATE3,0.07805676855895197,0.6588427947598253,0.13646288209606988,0.06986899563318777,0.056768558951965066
BMP:SU5402:CHIR.A9.PLATE3,0.051181102362204724,0.6614173228346457,0.09055118110236221,0.06299212598425197,0.13385826771653545
BMP:SU5402:CHIR.B1.PLATE3,0.06885758998435054,0.6400625978090767,0.10954616588419405,0.07042253521126761,0.1111111111111111
BMP:SU5402:CHIR.B10.PLATE3,0.07630522088353414,0.7871485943775101,0.05220883534136546,0.04417670682730924,0.040160642570281124
BMP:SU5402:CHIR.B11.PLATE3,0.059371362048894066,0.6682188591385332,0.11059371362048893,0.058983313930927435,0.10283275126115639
BMP:SU5402:CHIR.B12.PLATE3,0.10040160642570281,0.6907630522088354,0.0642570281124498,0.04417670682730924,0.10040160642570281
BMP:SU5402:CHIR.B2.PLATE3,0.05660377358490566,0.7421383647798742,0.040880503144654086,0.06289308176100629,0.09748427672955975
BMP:SU5402:CHIR.B3.PLATE3,0.046092906013683835,0.6946344976593446,0.09794742527907814,0.05257472092185812,0.10875045012603529
BMP:SU5402:CHIR.B4.PLATE3,0.08085106382978724,0.5872340425531914,0.11914893617021277,0.10638297872340426,0.10638297872340426
BMP:SU5402:CHIR.B5.PLATE3,0.1511627906976744,0.6046511627906976,0.16279069767441862,0.06976744186046512,0.011627906976744186
BMP:SU5402:CHIR.B6.PLATE3,0.08129496402877698,0.5848920863309353,0.1460431654676259,0.0856115107913669,0.10215827338129496
BMP:SU5402:CHIR.B7.PLATE3,0.10427135678391959,0.6721105527638191,0.114321608040201,0.04396984924623116,0.06532663316582915
BMP:SU5402:CHIR.B8.PLATE3,0.06519337016574586,0.6928176795580111,0.09834254143646409,0.05082872928176796,0.09281767955801105
BMP:SU5402:CHIR.B9.PLATE3,0.06395348837209303,0.747093023255814,0.0872093023255814,0.014534883720930232,0.0872093023255814
